time,datapoint
-7.500000,0.000139
-7.485000,0.000112
-7.470000,0.000207
-7.455000,0.000235
-7.440000,0.000373
-7.425000,0.000241
-7.410000,0.000311
-7.395000,0.000342
-7.380000,0.000428
-7.365000,0.000249
-7.350000,0.000352
-7.335000,0.000337
-7.320000,0.000253
-7.305000,0.000315
-7.290000,0.000288
-7.275000,0.000244
-7.260000,0.000119
-7.245000,0.000073
-7.230000,0.000014
-7.215000,-0.000031
-7.200000,-0.000122
-7.185000,-0.000156
-7.170000,-0.000213
-7.155000,-0.000328
-7.140000,-0.000390
-7.125000,-0.000415
-7.110000,-0.000416
-7.095000,-0.000290
-7.080000,-0.000420
-7.065000,-0.000470
-7.050000,-0.000500
-7.035000,-0.000606
-7.020000,-0.000402
-7.005000,-0.000357
-6.990000,-0.000426
-6.975000,-0.000391
-6.960000,-0.000306
-6.945000,-0.000203
-6.930000,-0.000109
-6.915000,-0.000023
-6.900000,0.000058
-6.885000,0.000139
-6.870000,0.000249
-6.855000,0.000342
-6.840000,0.000227
-6.825000,0.000662
-6.810000,0.000568
-6.795000,0.000436
-6.780000,0.000768
-6.765000,0.000508
-6.750000,0.000789
-6.735000,0.000260
-6.720000,0.000753
-6.705000,0.000475
-6.690000,0.000504
-6.675000,0.000643
-6.660000,0.000422
-6.645000,0.000348
-6.630000,0.000191
-6.615000,0.000149
-6.600000,0.000014
-6.585000,-0.000082
-6.570000,-0.000278
-6.555000,-0.000296
-6.540000,-0.000358
-6.525000,-0.000707
-6.510000,-0.000688
-6.495000,-0.000796
-6.480000,-0.001134
-6.465000,-0.000986
-6.450000,-0.001213
-6.435000,-0.000946
-6.420000,-0.001064
-6.405000,-0.000789
-6.390000,-0.000907
-6.375000,-0.000915
-6.360000,-0.000419
-6.345000,-0.000806
-6.330000,-0.000328
-6.315000,-0.000263
-6.300000,-0.000272
-6.285000,-0.000014
-6.270000,0.000164
-6.255000,0.000265
-6.240000,0.000589
-6.225000,0.000497
-6.210000,0.000542
-6.195000,0.000709
-6.180000,0.001208
-6.165000,0.001071
-6.150000,0.001548
-6.135000,0.001009
-6.120000,0.001188
-6.105000,0.001578
-6.090000,0.001190
-6.075000,0.001087
-6.060000,0.000837
-6.045000,0.000812
-6.030000,0.000282
-6.015000,0.000481
-6.000000,0.000457
-5.985000,0.000280
-5.970000,0.000012
-5.955000,-0.000210
-5.940000,-0.000453
-5.925000,-0.000678
-5.910000,-0.000914
-5.895000,-0.001335
-5.880000,-0.001808
-5.865000,-0.001417
-5.850000,-0.001249
-5.835000,-0.002108
-5.820000,-0.001681
-5.805000,-0.001928
-5.790000,-0.001892
-5.775000,-0.001750
-5.760000,-0.001992
-5.745000,-0.001103
-5.730000,-0.001224
-5.715000,-0.000981
-5.700000,-0.001104
-5.685000,-0.000742
-5.670000,-0.000278
-5.655000,-0.000003
-5.640000,0.000317
-5.625000,0.000586
-5.610000,0.001018
-5.595000,0.001104
-5.580000,0.001632
-5.565000,0.001967
-5.550000,0.001824
-5.535000,0.002043
-5.520000,0.002867
-5.505000,0.001958
-5.490000,0.002485
-5.475000,0.002635
-5.460000,0.003377
-5.445000,0.002945
-5.430000,0.002446
-5.415000,0.002359
-5.400000,0.001395
-5.385000,0.001215
-5.370000,0.000693
-5.355000,0.000440
-5.340000,-0.000017
-5.325000,-0.000638
-5.310000,-0.000898
-5.295000,-0.001291
-5.280000,-0.001750
-5.265000,-0.001624
-5.250000,-0.002037
-5.235000,-0.002891
-5.220000,-0.003969
-5.205000,-0.004261
-5.190000,-0.001598
-5.175000,-0.002757
-5.160000,-0.003667
-5.145000,-0.004045
-5.130000,-0.003232
-5.115000,-0.003430
-5.100000,-0.002951
-5.085000,-0.002862
-5.070000,-0.001799
-5.055000,-0.001215
-5.040000,-0.000400
-5.025000,0.000044
-5.010000,0.000718
-4.995000,0.001175
-4.980000,0.001479
-4.965000,0.003225
-4.950000,0.004380
-4.935000,0.002373
-4.920000,0.003643
-4.905000,0.004077
-4.890000,0.003594
-4.875000,0.003268
-4.860000,0.005485
-4.845000,0.004221
-4.830000,0.005206
-4.815000,0.004253
-4.800000,0.003899
-4.785000,0.004077
-4.770000,0.003200
-4.755000,0.002344
-4.740000,0.001294
-4.725000,0.000694
-4.710000,-0.000143
-4.695000,-0.000715
-4.680000,-0.001180
-4.665000,-0.002464
-4.650000,-0.003591
-4.635000,-0.005158
-4.620000,-0.005157
-4.605000,-0.005553
-4.590000,-0.006273
-4.575000,-0.005431
-4.560000,-0.007500
-4.545000,-0.007167
-4.530000,-0.005411
-4.515000,-0.005780
-4.500000,-0.004633
-4.485000,-0.005463
-4.470000,-0.004802
-4.455000,-0.004132
-4.440000,-0.002761
-4.425000,-0.001934
-4.410000,-0.001046
-4.395000,0.000290
-4.380000,0.001495
-4.365000,0.002888
-4.350000,0.004643
-4.335000,0.005483
-4.320000,0.005073
-4.305000,0.007673
-4.290000,0.007919
-4.275000,0.009182
-4.260000,0.012015
-4.245000,0.009178
-4.230000,0.009695
-4.215000,0.006109
-4.200000,0.007215
-4.185000,0.006189
-4.170000,0.007170
-4.155000,0.006306
-4.140000,0.005343
-4.125000,0.004476
-4.110000,0.002032
-4.095000,0.000938
-4.080000,-0.000412
-4.065000,-0.002149
-4.050000,-0.004671
-4.035000,-0.004162
-4.020000,-0.005501
-4.005000,-0.008195
-3.990000,-0.009618
-3.975000,-0.012843
-3.960000,-0.011869
-3.945000,-0.008476
-3.930000,-0.012892
-3.915000,-0.008528
-3.900000,-0.010450
-3.885000,-0.009958
-3.870000,-0.007782
-3.855000,-0.007178
